Systematic,Proteine,Gene
b0002,P00561,AK1H
b0003,P00547,KHSE
b0004,P00934,THRC
b0007,P30143,YAAJ
b0008,P0A870,TALB
b0009,P0AF03,MOG
b0019,P13738,NHAA
b0025,P0AG40,RIBF
b0026,P00956,SYI
b0029,P62623,ISPH
b0030,P22564,RIHC
b0031,P04036,DAPB
b0032,P0A6F1,CARA
b0033,P00968,CARB
b0036,P31551,CAID
b0037,P31552,CAIC
b0038,P31572,CAIB
b0040,P31553,CAIT
b0047,P03819,KEFC
b0048,P0ABQ4,DYR
b0049,P05637,APAH
b0052,P19624,PDXA
b0061,P08203,ARAD
b0062,P08202,ARAA
b0063,P08204,ARAB
b0066,P31548,THIQ
b0067,P31549,THIP
b0068,P31550,THIB
b0070,P31675,SETA
b0071,P30126,LEUD
b0072,P0A6A6,LEUC
b0073,P30125,LEU3
b0074,P09151,LEU1
b0077,P00893,ILVI
b0078,P00894,ILVH
b0084,P0AD68,FTSI
b0085,P22188,MURE
b0086,P11880,MURF
b0087,P0A6W3,MRAY
b0088,P14900,MURD
b0090,P17443,MURG
b0091,P17952,MURC
b0092,P07862,DDLB
b0096,P0A725,LPXC
b0099,P08337,MUTT
b0103,P0A6I9,COAE
b0104,P60560,GUAC
b0109,P30011,NADC
b0110,P13016,AMPD
b0112,P15993,AROP
b0114,P0AFG8,ODP1
b0115,P06959,ODP2
b0116,P0A9P0,DLDH
b0118,P36683,ACNB
b0120,P0A7F6,SPED
b0121,P09158,SPEE
b0123,P36649,CUEO
b0124,P15877,DHG
b0125,P0A9M2,HPRT
b0126,P61517,CAN
b0131,P0A790,PAND
b0133,P31663,PANC
b0134,P31057,PANB
b0142,P26281,HPPK
b0149,P02919,PBPB
b0150,P06971,FHUA
b0151,P07821,FHUC
b0152,P07822,FHUD
b0153,P06972,FHUB
b0154,P23893,GSA
b0155,P37019,CLCA
b0158,P37028,BTUF
b0159,P0AF12,MTNN
b0160,P15723,DGTP
b0166,P0A9D8,DAPD
b0171,P0A7E9,PYRH
b0173,P45568,DXR
b0174,P60472,UPPS
b0175,P0ABG1,CDSA
b0179,P21645,LPXD
b0180,P0A6Q6,FABZ
b0181,P0A722,LPXA
b0182,P10441,LPXB
b0185,P0ABD5,ACCA
b0186,P52095,LDCC
b0194,P16659,SYP
b0197,P28635,METQ
b0198,P31547,METI
b0199,P30750,METN
b0200,P63228,GMHBB
b0207,P30863,DKGB
b0212,P0AC84,GLO2
b0221,Q47146,FADE
b0222,P63224,GMHA
b0237,P15288,PEPD
b0238,P0A9M5,XGPT
b0241,P02932,PHOE
b0242,P0A7B5,PROB
b0243,P07004,PROA
b0260,Q47689,MMUP
b0261,Q47690,MMUM
b0273,P06960,OTC2
b0306,P77252,YKGE
b0307,P77536,YKGF
b0308,P77433,YKGG
b0311,P17444,BETA
b0312,P17445,BETB
b0314,P0ABC9,BETT
b0323,P77624,ARCM
b0331,P77541,PRPB
b0333,P31660,PRPC
b0334,P77243,PRPD
b0336,P0AA82,CODB
b0337,P25524,CODA
b0339,P0ABE9,CYNT
b0340,P00816,CYNS
b0341,P17583,CYNX
b0343,P02920,LACY
b0344,P00722,BGAL
b0347,P77397,MHPA
b0348,P0ABR9,MHPB
b0349,P77044,MHPC
b0350,P77608,MHPD
b0351,P77580,ACDH
b0352,P51020,HOA
b0353,P77589,MHPT
b0355,P51025,SFGH1
b0356,P25437,FRMA
b0365,Q47537,TAUA
b0366,Q47538,TAUB
b0367,Q47539,TAUC
b0368,P37610,TAUD
b0369,P0ACB2,HEM2
b0381,P0A6J8,DDLA
b0383,P00634,PPB
b0386,P0A9L8,P5CR
b0388,P0A6E1,AROL
b0394,P23917,MAK
b0401,P0AD99,BRNQ
b0403,P21517,MALZ
b0404,P21515,ACPH
b0411,P0A927,TSX
b0414,P25539,RIBD
b0415,P61714,RISB
b0417,P0AGG0,THIL
b0418,P18200,PGPA
b0420,P77488,DXS
b0421,P22939,ISPA
b0423,P77718,THII
b0425,P0A9J4,PANE
b0428,P0AEA5,CYOE
b0429,P0ABJ6,CYOD
b0430,P0ABJ3,CYOC
b0431,P0ABI8,CYOB
b0432,P0ABJ1,CYOA
b0433,P0AE16,AMPG
b0444,P77756,QUEC
b0446,P46891,COF
b0451,P69681,AMTB
b0452,P0AGG2,TESB
b0459,P77791,MAA
b0462,P31224,ACRB
b0463,P0AE06,ACRA
b0469,P69503,APT
b0474,P69441,KAD
b0475,P23871,HEMH
b0477,P0AEW6,INGK
b0480,P07024,USHA
b0484,Q59385,COPA
b0485,P77454,GLSA1
b0494,P0ADA1,TESA
b0505,P77731,ALLA
b0507,P0AEP7,GCL
b0508,P30147,HYI
b0509,P77161,GLXR
b0511,P75712,ALLP
b0512,P77671,ALLB
b0514,P77364,GLXK2
b0516,P77425,ALLC
b0517,P77555,ALLD
b0521,P37306,ARCC
b0522,P09029,PURK
b0523,P0AG18,PURE
b0524,P43341,LPXH
b0526,P21888,SYC
b0529,P24186,FOLD
b0572,P77211,CUSC
b0573,P77214,CUSF
b0574,P77239,CUSB
b0575,P38054,CUSA
b0576,P24207,PHEP
b0578,P38489,NFSB
b0583,P19925,ENTD
b0584,P05825,FEPA
b0585,P13039,FES
b0586,P11454,ENTF
b0588,P23878,FEPC
b0589,P23877,FEPG
b0590,P23876,FEPD
b0591,P24077,ENTS
b0592,P0AEL6,FEPB
b0593,P0AEJ2,ENTC
b0594,P10378,ENTE
b0595,P0ADI4,ENTB
b0596,P15047,ENTA
b0604,P77202,DSBG
b0612,P0AE74,CITT
b0613,P77231,CITG
b0614,P0A6G5,CITX
b0615,P75726,CILA
b0616,P0A9I1,CITE
b0617,P69330,CITD
b0621,P0ABP3,DCUC
b0622,P37001,PAGP
b0628,P60716,LIPA
b0630,P60720,LIPB
b0632,P0AEB2,DACA
b0635,P0AD65,MRDA
b0638,P52086,COBC
b0639,P0A752,NADD
