bNum,Gene,Rule
b0008,b0008,TRUE
b0080,FruR,NOT surplusFDP
b0113,PdhR,NOT surplusPYR
b0114,aceE, NOT b0113 OR b3261
b0115,aceF, NOT b0113 OR b3261
b0116,b0116,TRUE
b0118,b0118,TRUE
b0351,b0351,TRUE
b0356,b0356,TRUE
b0399,PhoB,b0400
b0400,PhoR,(NOT (pi_e > 0))
b0451,b0451,TRUE
b0474,b0474,TRUE
b0485,b0485,TRUE
b0720,b0720,TRUE
b0721,sdhC, (NOT (b4401 OR b1334)) OR b3357 OR b3261
b0722,sdhD, (NOT (b4401 OR b1334)) OR b3357 OR b3261
b0723,sdhA, (NOT (b4401 OR b1334)) OR b3357 OR b3261
b0724,sdhB, (NOT (b4401 OR b1334)) OR b3357 OR b3261
b0726,b0726,TRUE
b0727,b0727,TRUE
b0728,b0728,TRUE
b0729,b0729,TRUE
b0733,cydA, (NOT b1334) OR b4401
b0734,cydB, (NOT b1334) OR b4401
b0755,b0755,TRUE
b0767,b0767,TRUE
b0809,b0809,TRUE
b0810,b0810,TRUE
b0811,b0811,TRUE
b0875,b0875,TRUE
b0902,pflA, b4401 OR (b1334 AND b3357)
b0903,pflB, b4401 OR (b1334 AND b3357)
b0904,focA, b4401 OR (b1334 AND b3357)
b0978,b0978,TRUE
b0979,b0979,TRUE
b1101,ptsG, (NOT b1594) OR (NOT b0080)
b1136,b1137,TRUE
b1187,FadR,(glc__D_e > 0) OR (NOT ((ac_e > 0)))
b1241,adhE, (NOT (o2_e > 0)) OR (NOT ((o2_e > 0) AND b0080)) OR b3261
b1276,b1276,TRUE
b1297,b1297,TRUE
b1334,Fnr,NOT (o2_e > 0)
b1380,b1380,TRUE
b1478,b1478,TRUE
b1479,b1479,TRUE
b1524,yneH, (NOT (glc__D_e > 0)) OR ((nh4_e > 0) AND (NOT b3357))
b1594,Mlc,(NOT (glc__D_e > 0))
b1602,b1602,TRUE
b1603,b1603,TRUE
b1611,fumC, NOT b4401
b1612,fumA, NOT (b4401 OR b1334)
b1621,b1622,TRUE
b1676,pykF, NOT b0080
b1702,pps, b0080
b1723,b1724,TRUE
b1761,gdhA,NOT (b1988 OR (glu__L_e > 0))
b1773,b1773,TRUE
b1779,b1779,TRUE
b1812,b1812,TRUE
b1817,manX,CRPnoGLM OR (NOT b1594)
b1818,manY,CRPnoGLM OR (NOT b1594)
b1819,manZ,CRPnoGLM OR (NOT b1594)
b1849,b1849,TRUE
b1852,b1852,TRUE
b1854,b1854,TRUE
b1988,Nac,NRI_low
b2029,b2029,TRUE
b2097,b2097,TRUE
b2133,b2133,TRUE
b2276,nuoN, (NOT (b4401 OR b1334))
b2277,nuoM, (NOT (b4401 OR b1334))
b2278,nuoL, (NOT (b4401 OR b1334))
b2279,nuoK, (NOT (b4401 OR b1334))
b2280,nuoJ, (NOT (b4401 OR b1334))
b2281,nuoI, (NOT (b4401 OR b1334))
b2282,nuoH, (NOT (b4401 OR b1334))
b2283,nuoG, (NOT (b4401 OR b1334))
b2284,nuoF, (NOT (b4401 OR b1334))
b2285,nuoE, (NOT (b4401 OR b1334))
b2286,nuoC, (NOT (b4401 OR b1334))
b2287,nuoB, (NOT (b4401 OR b1334))
b2288,nuoA, (NOT (b4401 OR b1334))
b2296,b2296,TRUE
b2297,b2297,TRUE
b2415,b2415,TRUE
b2416,b2416,TRUE
b2417,b2417,TRUE
b2458,b2458,TRUE
b2463,b2463,TRUE
b2464,b2464,TRUE
b2465,b2465,TRUE
b2492,focB, b4401 OR (b1334 AND b3357)
b2579,b2579,TRUE
b2587,b2587,TRUE
b2779,b2779,TRUE
b2914,b2914,TRUE
b2925,b2925,TRUE
b2926,b2926,TRUE
b2935,b2935,TRUE
b2975,glcA, (NOT b4401) AND b2980
b2976,glcB, (NOT b4401) AND b2980
b2980,GlcC,(ac_e > 0)
b2987,pitB, NOT b0399
b3114,tdcE, b3357 OR b1334
b3115,tdcD, b3357 OR b1334
b3212,gltB, (NOT (NRI_hi AND (glu__L_e > 0)))
b3213,gltD, (NOT (NRI_hi AND (glu__L_e > 0)))
b3236,mdh, NOT b4401
b3261,Fis,(Biomass_Ecoli_core > 0)
b3357,Crp,CRPnoGLC
b3386,b3386,TRUE
b3403,b3403,TRUE
b3493,b3493,TRUE
b3528,dctA,CRPnoGLM AND (NOT b4401) AND b4124
b3603,lldP, NOT b4401
b3612,b3612,TRUE
b3731,b3731,TRUE
b3732,b3732,TRUE
b3733,b3733,TRUE
b3734,b3734,TRUE
b3735,b3735,TRUE
b3736,b3736,TRUE
b3737,b3737,TRUE
b3738,b3738,TRUE
b3739,b3739,TRUE
b3868,GlnG,NOT (nh4_e > 0)
b3870,glnA,b3357
b3916,b3916,TRUE
b3919,b3919,TRUE
b3925,b3925,TRUE
b3951,pflD, b4401 OR b1334
b3952,pflC, b4401 OR b1334
b3956,b3956,TRUE
b3962,b3962,TRUE
b4014,aceB, (NOT b4018) AND ((NOT b4401) OR b0080)
b4015,aceA, (NOT b4018) AND ((NOT b4401) OR b0080)
b4018,IclR,b1187
b4025,b4025,TRUE
b4077,b4077,TRUE
b4090,b4090,TRUE
b4122,fumB, b1334 OR b3357 OR b4124
b4124,DcuR,b4125
b4125,DcuS,(succ_e > 0) OR (fum_e > 0) OR (mal__L_e > 0)
b4151,frdD, b1334 OR b4124
b4152,frdC, b1334 OR b4124
b4153,frdB, b1334 OR b4124
b4154,frdA, b1334 OR b4124
b4232,b4232,TRUE
b4301,b4301,TRUE
b4395,b4395,TRUE
b4401,ArcA,NOT (o2_e > 0)
s0001,s0001,TRUE
CRPnoGLC,CRPnoGLC,(NOT (glc__D_e > 0))
CRPnoGLM,CRPnoGLM,NOT ((glc__D_e > 0) OR (mal__L_e > 0) OR (lac__D_e > 0))
NRI_hi,NRI_hi,NRI_low
NRI_low,NRI_low,b3868
surplusFDP,surplusFDP,((NOT (FBP > 0)) AND (NOT ((TKT2 > 0) OR (TALA > 0) OR (PGI > 0)))) OR (fru_e > 0)
surplusPYR,surplusPYR,(NOT ((ME2 > 0) OR (ME1 > 0))) AND (NOT ((GLCpts > 0) OR (PYK > 0) OR (PFK > 0) OR (LDH_D > 0) OR (SUCCt2_2 > 0)))
