Gene;yB8n055.03II01.batch.p1;yB8n056.03II01.batch.p2;yB8n057.03II01.batch.p3;yB8n058.03II01.batch.p4;yB8n059.03II01.batch.p5;yB8n060.03II01.batch.p6;yB8n061.03II01.batch.p7;yB8n062.03II01.batch.p8;yB8n063.03II01.batch.p9;yB8n064.03II01.batch.p10;yB8n065.03II01.batch.p11;yB8n066.03II01.batch.p12;yB8n044.Low.D.chemostat.vs..High.D.chemostat
YFR034C;1.527848584;-7.216492659;-3.583741149;-4.340049468;-0.16851702;-4.430635579;-5.275659712;7.840266713;3.870161799;7.568789696;9.271850899;-10.240032;-0.530390325
YGR067C;-8.639440075;-13.63407948;-12.50645205;-11.42770197;-6.715978829;-8.705333953;-9.588630215;13.42414786;14.4262678;17.17168788;14.52706238;-16.01379258;5.455076562
YJR147W;3.192023592;2.307829505;2.510561259;1.790124744;2.741418294;1.407941417;2.676456395;-4.004932077;-3.305269921;-5.4767408;-2.56591223;1.635350875;-1.060405908
YGL197W;1.293565951;-3.946870739;-1.654075947;-1.541529736;-0.68012549;-3.886659517;-3.835980461;3.222534177;1.740286413;4.764546468;4.722376918;-5.903753298;0.074751732
YGL096W;-4.193628804;-5.494371501;-5.100828305;-4.508943084;-3.948047216;-4.536319011;-4.648800393;6.235252851;6.726395975;7.232162041;5.602004553;-7.629542446;3.444350991
YBR033W;-1.45175961;-0.991393633;-0.963796716;-0.267990568;-1.574578303;-0.847148186;-0.795075813;3.358041321;3.145776258;1.831279286;0.703287763;-0.497075075;-1.853718383
YBR297W;-6.064320873;-5.426516949;-5.263078926;-3.50986673;-3.919782708;-5.684343612;-4.969145451;7.338515521;8.528403718;8.307177037;7.498827899;-5.743197508;-1.137846806
YBR240C;-4.746375743;-4.686268289;-4.629312519;-3.948417214;-0.813272544;-2.147949481;-3.194839249;4.503143632;5.377449306;6.427203444;3.983823836;-1.570026276;0.978438504
YCR018C;-1.991558155;6.076870753;3.561479595;3.584733523;-0.365114065;4.863729417;5.981102422;-5.174700312;-2.431043778;-8.462652229;-8.070175033;9.467978607;1.152874001
YDR146C;-1.289204771;2.557502139;1.679032801;2.221769464;4.424963817;5.89226861;3.155964751;-3.497074443;-3.990856128;-4.841723977;-6.28456096;8.059689591;-1.801088757
YCR106W;4.40424715;1.206380605;1.689868143;0.942230936;0.031860632;1.571814816;0.445046007;-2.718551349;-2.587848762;-4.890899738;-1.124541795;-0.970017122;1.324302079
YBL054W;8.716229678;14.04202012;12.75878246;10.26177439;4.031624111;1.265326407;4.864581702;-10.47114177;-13.1506732;-14.77718764;-6.895868429;9.340828601;-1.124659751
YCL055W;-2.271164887;-0.866905932;-2.100039619;-1.422027721;-0.728725805;1.496537529;1.802073963;1.493373639;0.775599149;0.051846338;-1.512338944;1.262671457;2.265189461
YGR044C;-3.567621713;4.662998641;2.527778781;1.709198112;0.674625631;6.798965453;5.761582615;-3.678798079;-0.894029268;-6.540326563;-8.450640452;10.45308814;-1.126690872
