lys_dash_L_e_;lys_DASH_L_e
phe_dash_L_e_;phe_DASH_L_e
tyr_dash_L_e_;tyr_DASH_L_e
galctn_dash_D_e_;galctn_DASH_D_e
xtsn_e_;xtsn_e
fuc_dash_L_e_;fuc_DASH_L_e
ala_dash_L_e_;ala_DASH_L_e
leu_dash_L_e_;leu_DASH_L_e
xyl_dash_D_e_;xyl_DASH_D_e
glcn_e_;glcn_e
glc_dash_D_e_;glc_DASH_D_e
arab_dash_L_e_;arab_DASH_L_e
rib_dash_D_e_;rib_DASH_D_e
mal_dash_L_e_;mal_DASH_L_e
glyc_e_;glyc_e
sbt_dash_D_e_;sbt_DASH_D_e
lac_dash_D_e_;lac_DASH_D_e
man_e_;man_e
succ_e_;succ_e
h2o2_e_;h2o2_e
pyr_e_;pyr_e
galt_e_;galt_e
lcts_e_;lcts_e
gal_e_;gal_e
o2_e_;o2_e
thym_e_;thym_e
csn_e_;csn_e
ura_e_;ura_e
glu_dash_L_e_;glu_DASH_L_e
thr_dash_L_e_;thr_DASH_L_e
ser_dash_L_e_;ser_DASH_L_e
val_dash_L_e_;val_DASH_L_e
ile_dash_L_e_;ile_DASH_L_e
trp_dash_L_e_;trp_DASH_L_e
nh4_e_;nh4_e
fru_e_;fru_e
tmao_e_;tmao_e
glcr_e_;glcr_e
galct_dash_D_e_;galct_DASH_D_e
tre_e_;tre_e
gua_e_;gua_e
met_dash_L_e_;met_DASH_L_e
cytd_e_;cytd_e
cbi_e_;cbi_e
so4_e_;so4_e
cys_dash_L_e_;cys_DASH_L_e
rmn_e_;rmn_e
chol_e_;chol_e
gln_dash_L_e_;gln_DASH_L_e
asn_dash_L_e_;asn_DASH_L_e
cynt_e_;cynt_e
mnl_e_;mnl_e
lac_dash_L_e_;lac_DASH_L_e
ppa_e_;ppa_e
ser_dash_D_e_;ser_DASH_D_e
malt_e_;malt_e
malttr_e_;malttr_e
maltttr_e_;maltttr_e
malthx_e_;malthx_e
maltpt_e_;maltpt_e
g6p_e_;g6p_e
btn_e_;btn_e
idon_dash_L_e_;idon_DASH_L_e
asp_dash_L_e_;asp_DASH_L_e
tartr_dash_L_e_;tartr_DASH_L_e
k_e_;k_e
pppn_e_;pppn_e
arg_dash_L_e_;arg_DASH_L_e
his_dash_L_e_;his_DASH_L_e
pro_dash_L_e_;pro_DASH_L_e
gly_e_;gly_e
ac_e_;ac_e
glyclt_e_;glyclt_e
cit_e_;cit_e
no3_e_;no3_e
no2_e_;no2_e
dmso_e_;dmso_e
for_e_;for_e
ade_e_;ade_e
hxan_e_;hxan_e
acgam_e_;acgam_e
gam_e_;gam_e
fe2_e_;fe2_e
na1_e_;na1_e
melib_e_;melib_e
fum_e_;fum_e
ala_dash_D_e_;ala_DASH_D_e
acac_e_;acac_e
pi_e_;pi_e
ins_e_;ins_e
ttdca_e_;ttdca_e
hdca_e_;hdca_e
ocdca_e_;ocdca_e
_st_dg_3hpppn_e_;3hpppn_e
_st_dg_2ddglcn_e_;2ddglcn_e
_st_dg_5dglcn_e_;5dglcn_e
