Alias_3;Gene_name;Alias_1;Alias_2;Rule
b0002;ThrA;thra;thrA;(NOT (thr-L(e)>0 OR ile-L(e)>0))
b0003;ThrB;thrb;thrB;(NOT (thr-L(e)>0 OR ile-L(e)>0))
b0004;ThrC;thrc;thrC;(NOT (thr-L(e)>0 OR ile-L(e)>0))
b0007;YaaJ;yaaj;yaaJ;
b0008;TalB;talb;talB;
b0019;NhaA;nhaa;nhaA;((NhaR) OR (RpoS))
b0020;NhaR;nhar;nhaR;(na1(e)>0)
b0025;RibF;ribf;ribF;
b0029;LytB;lytb;lytB;
b0031;DapB;dapb;dapB;(NOT lys-L(e)>0)
b0032;CarA;cara;carA;(NOT ArgR)
b0033;CarB;carb;carB;(NOT ArgR)
b0034;CaiF;caif;caiF;(Fnr AND Crp AND NOT NarL)
b0036;CaiD;caid;caiD;(Crp AND CaiF)
b0038;CaiB;caib;caiB;(Crp AND CaiF)
b0040;CaiT;cait;caiT;(Crp AND CaiF)
b0048;FolA;fola;folA;
b0049;ApaH;apah;apaH;
b0052;PdxA;pdxa;pdxA;(RpoE)
b0061;AraD;arad;araD;(AraC OR (AraC AND Crp))
b0062;AraA;araa;araA;(AraC OR (AraC AND Crp))
b0063;AraB;arab;araB;(AraC OR (AraC AND Crp))
b0064;AraC;arac;araC;(arab-L(e)>0)
b0066;SfuC;sfuc;sfuC;
b0067;SfuB;sfub;sfuB;
b0068;SfuA;sfua;sfuA;
b0071;LeuD;leud;leuD;(NOT(leu-L(e)>0) OR Lrp)
b0072;LeuC;leuc;leuC;(NOT(leu-L(e)>0) OR Lrp)
b0073;LeuB;leub;leuB;(NOT(leu-L(e)>0) OR Lrp)
b0074;LeuA;leua;leuA;(NOT(leu-L(e)>0) OR Lrp)
b0077;IlvI;ilvi;ilvI;(Lrp AND NOT (leu-L(e)>0))
b0078;IlvH;ilvh;ilvH;(Lrp AND NOT (leu-L(e)>0))
b0080;FruR;frur;fruR;( NOT ( ( (NOT ( FBP>0) AND NOT (TKT2>0 OR TALA>0 OR PGI>0)) OR fru(e)>0) ) )
b0085;MurE;mure;murE;
b0086;MurF;murf;murF;
b0087;MraY;mray;mraY;
b0088;MurD;murd;murD;
b0090;MurG;murg;murG;
b0091;MurC;murc;murC;
b0092;DdlB;ddlb;ddlB;
b0096;LpxC;lpxc;lpxC;
b0099;MutT;mutt;mutT;
b0104;GuaC;guac;guaC;(NOT ((gln-L(e)>0) OR (gua(e)>0))) 
b0109;NadC;nadc;nadC;
b0112;AroP;arop;aroP;(NOT (TyrR AND ((phe-L(e)>0) OR (tyr-L(e)>0) OR (trp-L(e)>0))))
b0113;PdhR;pdhr;pdhR;( NOT ( NOT ( (ME2>0 OR ME1>0) AND NOT (GLCpts>0 OR PYK>0 OR PFK>0 OR LDH_D<0 OR LDH_D2>0 OR SUCCt2_2>0 OR SUCCt2_3>0))) )
b0114;AceE;acee;aceE;((NOT(PdhR)) OR (Fis))
b0115;AceF;acef;aceF;((NOT(PdhR)) OR (Fis))
b0116;LpdA;lpda;lpdA;(ON)
b0118;AcnB;acnb;acnB;(ON)
b0120;SpeD;sped;speD;
b0121;SpeE;spee;speE;
b0124;Gcd;gcd;gcd;(NOT Crp)
b0125;Hpt;hpt;hpt;(Crp)
b0126;YadF;yadf;yadF;
b0131;PanD;pand;panD;
b0133;PanC;panc;panC;
b0134;PanB;panb;panB;
b0142;FolK;folk;folK;
b0154;HemL;heml;hemL;
b0158;YadT;yadt;yadT;
b0159;Mtn;mtn;mtn;
b0160;Dgt;dgt;dgt;
b0162;SdaR;sdar;sdaR;((glcr(e)>0) OR (galct-D(e)>0))
b0166;DapD;dapd;dapD;
b0167;GlnD;glnd;glnD;(Lrp)
b0171;PyrH;pyrh;pyrH;
b0173;Dxr;dxr;dxr;
b0174;UppS;upps;uppS;
b0175;CdsA;cdsa;cdsA;
b0179;LpxD;lpxd;lpxD;
b0180;FabZ;fabz;fabZ;(NOT(Stringent) OR CpxR OR RpoE OR ( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) ))
b0181;LpxA;lpxa;lpxA;
b0182;LpxB;lpxb;lpxB;
b0185;AccA;acca;accA;
b0186;LdcC;ldcc;ldcC;
b0197;YaeC;yaec;yaeC;(NOT MetJ)
b0198;YaeE;yaee;yaeE;(NOT MetJ)
b0199;Abc;abc;abc;(NOT MetJ)
b0200;YaeD;yaed;yaeD;
b0207;YafB;yafb;yafB;
b0212;GloB;glob;gloB;
b0221;FadF;fadf;fadF;(NOT (( NOT (ttdca(e)>0 OR hdca(e)>0 OR ocdca(e)>0) )) OR NOT (ArcA))
b0222;GmhA;gmha;gmhA;
b0238;Gpt;gpt;gpt;
b0242;ProB;prob;proB;
b0243;ProA;proa;proA;
b0273;ArgF;argf;argF;(NOT ArgR)
b0312;BetB;betb;betB;(NOT (ArcA OR BetI))
b0313;BetI;beti;betI;(chol(e)>0)
b0314;BetT;bett;betT;(NOT (BetI))
b0323;YahI;yahi;yahI;
b0331;PrpB;prpb;prpB;(ppa(e)>0)
b0333;PrpC;prpc;prpC;(ppa(e)>0)
b0334;PrpD;prpd;prpD;(ppa(e)>0)
b0335;PrpE;prpe;prpE;(ppa(e)>0)
b0336;CodB;codb;codB;(NOT (PurR) OR (((GlnG AND GlnB AND GlnD) AND RpoN)))
b0337;CodA;coda;codA;(NOT (PurR) OR ((GlnG AND GlnB AND GlnD) AND RpoN))
b0338;CynR;cynr;cynR;(cynt(e)>0)
b0339;CynT;cynt;cynT;
b0340;CynS;cyns;cynS;(CynR)
b0341;CynX;cynx;cynX;(cynt(e)>0)
b0343;LacY;lacy;lacY;((NOT((glcn(e)>0) OR (glc-D(e)>0))) AND NOT(LacI))
b0344;LacZ;lacz;lacZ;((NOT((glcn(e)>0) OR (glc-D(e)>0))) AND NOT(LacI))
b0345;LacI;laci;lacI;( NOT ( lcts(e)>0 ) )
b0346;MhpR;mhpr;mhpR;(3hpppn(e)>0)
b0347;MhpA;mhpa;mhpA;(MhpR)
b0348;MhpB;mhpb;mhpB;(MhpR)
b0349;MhpC;mhpc;mhpC;(MhpR)
b0350;MhpD;mhpd;mhpD;(MhpR)
