,internal_id,uniprot_id,external_id
0,murA,P0A749,murZ b3189 JW3156
1,phoQ,P23837,b1129 JW1115
2,prc,P23865,tsp b1830 JW1819
3,manY,P69801,pel ptsP b1818 JW1807
4,sodB,P0AGD3,b1656 JW1648
5,paoA,P77165,yagT b0286 JW0280
6,poxB,P07003,b0871 JW0855
7,rpsG,P02359,b3341 JW3303
8,serB,P0AGB0,b4388 JW4351
9,tonB,P02929,exbA b1252 JW5195
10,purA,P0A7D4,adeK b4177 JW4135
11,pyrG,P0A7E5,b2780 JW2751
12,purT,P33221,b1849 JW1838
13,rsmA,P06992,ksgA b0051 JW0050
14,selA,P0A821,fdhA b3591 JW3564
15,ompT,P09169,b0565 JW0554
16,relB,P0C079,b1564 JW1556
17,rppH,P0A776,nudH ygdP b2830 JW2798
18,secE,P0AG96,prlG b3981 JW3944
19,seqA,P0AFY8,b0687 JW0674
20,stpA,P0ACG1,hnsB b2669 JW2644
21,rpoC,P0A8T7,tabB b3988 JW3951
22,rpoB,P0A8V2,groN nitB rif ron stl stv tabD b3987 JW3950
23,sdhB,P07014,b0724 JW0714
24,surE,P0A840,ygbC b2744 JW2714
25,yeiG,P33018,b2154 JW2141
26,tolC,P02930,colE1-i mtcB mukA refI toc weeA b3035 JW5503
27,sad,P76149,yneI b1525 JW5247
28,fabZ,P0A6Q6,sefA yaeA b0180 JW0175
29,ftsY,P10121,b3464 JW3429
30,glpX,P0A9C9,b3925 JW3896
31,glyA,P0A825,b2551 JW2535
32,kduD,P37769,ygeC yqeD b2842 JW2810
33,loiP,P25894,yggG b2936 JW2903
34,potA,P69874,b1126 JW1112
35,slt,P0AGC3,sltY b4392 JW4355
36,sufS,P77444,csdB ynhB b1680 JW1670
37,rcsD,P39838,yojN yojP yojQ b2216 JW2204
38,rpiB,P37351,yjcA b4090 JW4051
39,sdhA,P0AC41,b0723 JW0713
40,paaZ,P77455,maoC ydbN b1387 JW1382
41,obgE,P42641,cgtA obg yhbZ b3183 JW3150
42,ffh,P0AGD7,b2610 JW5414
43,sucC,P0A836,b0728 JW0717
44,ybiV,P75792,supH b0822 JW0806
45,tapT,Q47319,tuaA yfiP b2583 JW5409
46,pyrD,P0A7E1,b0945 JW0928
47,rplV,P61175,eryB b3315 JW3277
48,rplF,P0AG55,b3305 JW3267
49,ispU,P60472,rth uppS yaeS b0174 JW0169
50,tdcB,P0AGF6,b3117 JW3088
51,tmcA,P76562,ypfI b2474 JW2459
52,rnc,P0A7Y0,b2567 JW2551
53,rluF,P32684,yjbC b4022 JW3982
54,rpoE,P0AGB6,sigE b2573 JW2557
55,slyD,P0A9K9,b3349 JW3311
56,tesA,P0ADA1,apeA pldC b0494 JW0483
57,rnb,P30850,b1286 JW1279
58,rsmG,P0A6U5,gidB b3740 JW3718
59,serS,P0A8L1,b0893 JW0876
60,pdxH,P0AFI7,b1638 JW1630
61,phoU,P0A9K7,nmpA b3724 JW3702
62,queF,Q46920,yqcD b2794 JW2765
63,rpsD,P0A7V8,ramA b3296 JW3258
64,secA,P10408,azi pea prlD b0098 JW0096
65,thyA,P0A884,b2827 JW2795
66,rhaB,P32171,b3904 JW3875
67,purN,P08179,b2500 JW2485
68,secG,P0AG99,b3175 JW3142
69,metG,P00959,b2114 JW2101
70,potE,P0AAF1,b0692 JW0679
71,yciV,P77766,trpH b1266 JW1258
72,tsaE,P0AF67,yjeE b4168 JW4126
73,psuG,P33025,pscG yeiN b2165 JW2152
74,pyrE,P0A7E3,b3642 JW3617
75,rplL,P0A7K2,b3986 JW3949
76,rpoA,P0A7Z4,pez phs sez b3295 JW3257
77,suhB,P0ADG4,ssyA b2533 JW2517
78,rsmC,P39406,yjjT b4371 JW4333
79,speD,P0A7F6,b0120 JW0116
80,mtgA,P46022,mgt yrbM b3208 JW3175
81,narZ,P19319,b1468 JW1463
82,nlpE,P40710,cutF b0192 JW0188
83,skp,P0AEU7,hlpA ompH b0178 JW0173
84,srmB,P21507,rbaB rhlA b2576 JW2560
85,sspB,P0AFZ3,b3228 JW3197
86,sppA,P08395,b1766 JW1755
87,tehB,P25397,b1430 JW1426
88,proB,P0A7B5,b0242 JW0232
89,prpC,P31660,yahS yzzD b0333 JW0324
90,pyrC,P05020,b1062 JW1049
91,rplA,P0A7L0,b3984 JW3947
92,rpsM,P0A7S9,b3298 JW3260
93,sodA,P00448,b3908 JW3879
94,yihQ,P32138,squQ b3878 JW3849
95,recA,P0A7G6,lexB recH rnmB tif umuB zab b2699 JW2669
96,lysU,P0A8N5,b4129 JW4090
97,proS,P16659,drpA b0194 JW0190
98,pflA,P0A9N4,act b0902 JW0885
99,ompA,P0A910,con tolG tut b0957 JW0940
100,pdeL,P21514,yahA b0315 JW0307
101,ushA,P07024,b0480 JW0469
102,rlmD,P55135,rumA ygcA b2785 JW2756
103,yafQ,Q47149,b0225 JW0215
104,nrdA,P00452,dnaF b2234 JW2228
105,pldA,P0A921,b3821 JW3794
106,manX,P69797,gptB ptsL b1817 JW1806
107,selO,P77649,ydiU b1706 JW1696
108,nikR,P0A6Z6,yhhG b3481 JW3446
109,yhdE,P25536,b3248 JW3217
110,pabA,P00903,b3360 JW3323
111,rne,P21513,ams hmp1 b1084 JW1071
112,rplE,P62399,b3308 JW3270
113,selD,P16456,fdhB b1764 JW1753
114,ompF,P02931,cmlB coa cry tolF b0929 JW0912
115,mrcB,P02919,pbpF ponB b0149 JW0145 A0A7H2C765 ECK0148 pbpF ponB b0149
116,rluA,P0AA37,yabO b0058 JW0057
117,serA,P0A9T0,b2913 JW2880
118,nemR,P67430,ydhM b1649 JW5874
119,nfuA,P63020,gntY yhgI b3414 JW3377
120,rtcB,P46850,yhgL b3421 JW3384
121,phoA,P00634,b0383 JW0374 Q47042
122,priA,P17888,b3935 JW3906
123,prmC,P0ACC1,hemK b1212 JW1203
124,ptsG,P69786,glcA umg b1101 JW1087
125,yfiH,P33644,b2593 JW2575
126,recQ,P15043,b3822 JW5855
127,radD,P33919,yejH yejI yejJ b2184 JW2172
128,rplB,P60422,b3317 JW3279
129,rusA,P0AG74,rus ybcP b0550 JW0538
130,purL,P15254,purI b2557 JW2541
131,psd,P0A8K1,b4160 JW4121
132,rnr,P21499,vacB yjeC b4179 JW5741
133,appA,P07102,b0980 JW0963
134,purB,P0AB89,b1131 JW1117
135,puuE,P50457,goaG b1302 JW1295 A0A0G3HVX2
136,ribB,P0A7J0,htrP b3041 JW3009
137,rho,P0AG30,nitA psuA rnsC sbaA tsu b3783 JW3756
138,rpsL,P0A7S3,strA b3342 JW3304
139,rsgA,P39286,engC yjeQ b4161 JW4122
140,purR,P0ACP7,b1658 JW1650
141,mazF,P0AE70,chpA chpAK b2782 JW2753
142,gyrB,P0AES6,acrB cou himB hisU nalC parA pcbA b3699 JW5625
143,hchA,P31658,yedU yzzC b1967 JW1950
144,kdpB,P03960,b0697 JW0685
145,mscS,P0C0S1,yggB b2924 JW2891
146,nuoK,P0AFE4,b2279 JW2274
147,orn,P0A784,o204a yjeR b4162 JW5740
148,ilvE,P0AB80,b3770 JW5606
149,mepM,P0AFS9,yebA b1856 JW5304
150,norV,Q46877,flrD ygaI ygaJ ygaK b2710 JW2680
151,mutS,P23909,fdv b2733 JW2703
152,ptsI,P08839,b2416 JW2409
153,murE,P22188,b0085 JW0083
154,argI,P04391,b4254 JW4211
155,hinT,P0ACE7,ycfF b1103 JW1089
156,hldD,P67910,htrM rfaD waaD b3619 JW3594
157,patZ,P76594,pka yfiQ b2584 JW2568
158,lpxC,P0A725,asmB envA b0096 JW0094
159,ndh,P00393,b1109 JW1095
160,mtnN,P0AF12,mtn pfs yadA b0159 JW0155
161,lptC,P0ADV9,yrbK b3199 JW3166
162,yjjX,P39411,b4394 JW5801
163,mutT,P08337,b0099 JW0097
164,narH,P11349,b1225 JW1216
165,nadE,P18843,efg ntrL b1740 JW1729
166,cobB,P75960,ycfY b1120 JW1106 A0A7H2C766 ECK1106 ycfY b1120
167,nudG,P77788,ynjG b1759 JW1748
168,ompR,P0AA16,kmt ompB b3405 JW3368
169,otsA,P31677,b1896 JW5312
170,mukB,P22523,b0924 JW0907
171,parC,P0AFI2,b3019 JW2987
172,pta,P0A9M8,b2297 JW2294
173,maeB,P76558,ypfF b2463 JW2447
174,mqsA,Q46864,ygiT b3021 JW2989
175,mnmA,P25745,asuE trmU ycfB b1133 JW1119
176,mnmE,P25522,thdF trmE b3706 JW3684
177,nupG,P0AFF4,b2964 JW2932
178,traA,P04737,ECOK12F074
179,rpsO,P0ADZ4,secC b3165 JW3134
180,rseA,P0AFX7,mclA yfiJ b2572 JW2556
181,rseP,P0AEH1,ecfE yaeL b0176 JW0171
182,metE,P25665,b3829 JW3805
183,miaA,P16384,trpX b4171 JW4129
184,msbA,P60752,b0914 JW0897
185,nnr,P31806,yjeF b4167 JW4125
186,panE,P0A9J4,apbA b0425 JW0415
187,preA,P25889,yeiA b2147 JW2134
188,ppnP,P0C037,yaiE b0391 JW0382
189,rcsB,P0DMC7,b2217 JW2205
190,rcsC,P0DMC5,b2218 JW5917/JW5920
191,rhmD,P77215,yfaW b2247 JW2241
