rxn; rxn_REV ; ; WT_rxn_flux; WT_rxn_REV_flux; ; O_rxn_flux;O_rxn_REV_flux
P38211;;;;;;
r_0521No1; r_0521_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P39533;;;;;;
r_0542No1; r_0542_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P17505;;;;;;
r_0713No1; r_0713_REVNo1; ; 0.19970623759144424; 0.0; ;0.09985311879572212; 0.0
P38221;;;;;;
r_2432No1; r_2432_REVNo1; ; 0.0; 0.0; ;0.0014440282579805635; 0.0
r_2433No1; r_2433_REVNo1; ; 0.011172472262502835; 0.0; ;0.0026562015844816727; 0.0
r_2434No1; r_2434_REVNo1; ; 0.0; 0.0; ;0.0009110610609555134; 0.0
r_2435No1; r_2435_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2436No1; r_2436_REVNo1; ; 0.002267679306507602; 0.0; ;0.002470690087374114; 0.0
r_2437No1; r_2437_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2438No1; r_2438_REVNo1; ; 0.001638176698097308; 0.0; ;7.796270283483408e-05; 0.0
r_2439No1; r_2439_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2440No1; r_2440_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2441No1; r_2441_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2442No1; r_2442_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2443No1; r_2443_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2444No1; r_2444_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2445No1; r_2445_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
Q05788;;;;;;
r_0949No1; r_0949_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0950No1; r_0950_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0951No1; r_0951_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P37298;;;;;;
r_1021No1; r_1021_REVNo1; ; 0.03311956260827112; 0.0; ;0.01655978130413556; 0.0
r_1021No2; r_1021_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
P23254;;;;;;
r_1049No2; r_1049_REVNo2; ; 0.47100683889106243; 0.0; ;0.053714062119964934; 0.0
r_1050No2; r_1050_REVNo2; ; 0.36370050416163857; 0.0; ;0.36363960940638557; 0.0
P12709;;;;;;
r_0467No1; r_0467_REVNo1; ; 11.26404593165802; 0.0; ;5.561948409352972; 0.0
P36051;;;;;;
r_0520No1; r_0520_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P47026;;;;;;
r_0137No1; r_0137_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P10356;;;;;;
r_0018No1; r_0018_REVNo1; ; 0.11618965102864451; 0.0; ;0.05809482551432226; 0.0
Q06489;;;;;;
r_0087No1; r_0087_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P15454;;;;;;
r_0330No1; r_0330_REVNo1; ; 0.0; 0.0007802392366716754; ;0.0; 0.0007802392366717259
r_0529No1; r_0529_REVNo1; ; 0.0011703588550075132; 0.0; ;0.0011703588550075012; 0.0
P32316;;;;;;
r_4039No1; r_4039_REVNo1; ; 0.0; 2.6007974555722516e-06; ;0.0; 0.0
P30777;;;;;;
r_0522No1; r_0522_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P09440;;;;;;
r_0447No1; r_0447_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0724No1; r_0724_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0733No1; r_0733_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P38628;;;;;;
r_0882No1; r_0882_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_0890No1; r_0890_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
P38009;;;;;;
r_0570No2; r_0570_REVNo2; ; 0.056604536062311306; 0.0; ;0.0; 0.0
r_0912No2; r_0912_REVNo2; ; 0.056604536062311306; 0.0; ;0.0566045360623113; 0.0
Q03175;;;;;;
r_0294No2; r_0294_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
r_0295No2; r_0295_REVNo2; ; 0.0; 0.0; ;0.0; 0.0
P40345;;;;;;
r_2884No1; r_2884_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2885No1; r_2885_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2886No1; r_2886_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2887No1; r_2887_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2888No1; r_2888_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2889No1; r_2889_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2890No1; r_2890_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2891No1; r_2891_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2892No1; r_2892_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2893No1; r_2893_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2894No1; r_2894_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2895No1; r_2895_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2896No1; r_2896_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2897No1; r_2897_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2898No1; r_2898_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2899No1; r_2899_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2900No1; r_2900_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2901No1; r_2901_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2902No1; r_2902_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2903No1; r_2903_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2904No1; r_2904_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2905No1; r_2905_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2906No1; r_2906_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2907No1; r_2907_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2908No1; r_2908_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2909No1; r_2909_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2910No1; r_2910_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2911No1; r_2911_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2912No1; r_2912_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2913No1; r_2913_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2914No1; r_2914_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2915No1; r_2915_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2916No1; r_2916_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2917No1; r_2917_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2918No1; r_2918_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2919No1; r_2919_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2920No1; r_2920_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2921No1; r_2921_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2922No1; r_2922_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2923No1; r_2923_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2924No1; r_2924_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2925No1; r_2925_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2926No1; r_2926_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2927No1; r_2927_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2928No1; r_2928_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2929No1; r_2929_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2930No1; r_2930_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
